,itemname,tag
0,Biscuit Pudding,Desserts
14,Jelly Yoghurt 425ml,Desserts
16,(3) Jelly Yoghurt 80ml,Desserts
17,Watalappam 425ml,Desserts
19,Two Chocolate Balls,Desserts
26,Two Chocolate Cupcakes Medium,Cakes
28,Chocolate Cupcake Large,Cakes
32,Two Chocolate Triangles,Cakes
34,Fish  Rice & Curry (2),Rice
36,Two Chocolate Eclairs,Desserts
38,Egg Noodles,Noodles
39,Chicken Noodles,Noodles
42,(3) Pieces Parata & Mix Gravy,Roti
47,Egg Red Rice,Rice
48,Vegetable Red Rice,Rice
50,Chicken Red Rice,Rice
51,Fish Red Rice,Rice
53,Bread 2Pcs,Bread
54,Fish Bun (2),Short eats
55,Tea Bun (2),Short eats
57,Kimbulla Bun (2),Short eats
59,Egg Bun (2),Short eats
60,Seeni Sambol Bun (2),Short eats
65,Fish Noodles,Noodles
69,Two Vanilla Cupcakes (Medium),Cakes
70,Vegetable Rice & Curry,Rice
71,Egg Rice & Curry,Rice
72,Vanilla Cupcake (Large),Cakes
73,Fish Rice & Curry,Rice
74,Chicken Rice & Curry,Rice
75,Beef Rice & Curry,Rice
76,Salted Caramel Cheesecake,Cakes
77,Roast Chicken Rice & Curry,Rice
78,Fresh Strawberry Cheesecake,Cakes
80,Ferrero Hazelnut Crunch Chocolate Cheesecake,Cakes
81,Triple Chocolate Lindt Mousse Cake,Cakes
82,Salted Caramel Mousse Cake,Cakes
83,Mini Chicken Biriyani,Biriyani
84,Lindt Opera Cake,Cakes
85,Beef Biriyani,Biriyani
87,Vegetable Fried Rice,Rice
88,Fresh Mango Gateaux,Desserts
90,Egg Fried Rice,Rice
92,Mini Chicken Fried Rice,Rice
93,Snicker Signature Cake,Cakes
95,Fish Fried Rice,Rice
96,2 Pieces Vanilla Butter Icing Cakes,Cakes
99,Roast Beef Fried Rice,Rice
100,Two Chocolate Triangle Fudge,Desserts
101,(2) Egg Rotti,Roti
103,Red Velvet Cream Cheesecake,Cakes
105,Chocolate Vanilla Birthday Cake,Cakes
107,Lindt Ganache Chocolate Fudge,Cakes
108,Egg Kottu,Kottu
109,Royal Chocolate Spray Cake,Cakes
110,Vegetable Kotthu,Kottu
111,Fish Kotthu,Kottu
